# Captions tagged NON_DESCRITTO (after manual salvage pass)
# These are filtered out of the final training set.

attribute                 freq  caption_pre
Struttura della Pasta        4  poco solubile, tende a essere pastoso
Struttura della Pasta        4  poco friabile e solubile
Struttura della Pasta        4  molto morbido
Struttura della Pasta        4  molle e pastoso e asciutto
Struttura della Pasta        4  friabilità, solubilità e tirosina FORTE
Struttura della Pasta        4  friabilità e solubilità MODERATE;TIROSINA leggera
Struttura della Pasta        4  friabilità e solubilità FORTE;tirosina MODERATA
Struttura della Pasta        4  buona solibulit
Struttura della Pasta        4  Un terzo della forma invece è da 8
Struttura della Pasta        4  Strano effetto
Struttura della Pasta        4  Prova di grana
Struttura della Pasta        4  Non considero le due fessurette
Struttura della Pasta        4  Niente di particolare
Struttura della Pasta        4  Nel complesso bene
Struttura della Pasta        4  Nel complesso bella!
Struttura della Pasta        4  Nel centro soprattutto
Struttura della Pasta        4  Molto bella
Struttura della Pasta        4  Mezza forma anche bellina. L'altra metà un disastro
Struttura della Pasta        4  Manca ne commentii cristalli
Struttura della Pasta        4  La parte centrale sembra appartenere ad un'altra forma. La parte esterna sarebbe…
Struttura della Pasta        4  L'occhio di Sauron
Struttura della Pasta        4  Ideologizzata diffusa con mancanza di struttura
Struttura della Pasta        4  Friabile ma morbido al morso. troppo plastico. incolla ai denti
Struttura della Pasta        4  Forse il voto dato va diminuito di 1!
Struttura della Pasta        2  Bel giallo omogeneo quasi nocciola forse troppo carico
Struttura della Pasta        2  10-12 mm
Struttura della Pasta      ---  (30 unique, 124 broadcast rows)

Texture                     14  Non ok
Texture                      8  Nel complesso non male però
Texture                      4  tro
Texture                      4  nella media
Texture                      4  media...
Texture                      4  fuori standard
Texture                      4  e' un grana giovane da pasto.
Texture                      4  dd
Texture                      4  da sbrinz;
Texture                      4  come atteso
Texture                      4  attesa per un formaggio stagionato
Texture                      4  Un disastro!
Texture                      4  Sembra più giovane
Texture                      4  Piacevole però
Texture                      4  Pessima
Texture                      4  Non ottimale, anzi non bella!
Texture                      4  Molto intressante
Texture                      4  Molto equilibrato
Texture                      4  Gestire mediocre
Texture                      4  Equilibrato
Texture                      4  Difficile da giudicare perché immagiabile
Texture                      4  Controverso
Texture                      4  ABBASTANZA BUONA
Texture                    ---  (23 unique, 106 broadcast rows)

TOTAL: 184 unique captions, 843 broadcast rows
