attribute,lemma,count,surfaces
Aroma,campioni,8,campioni
Aroma,vanno,8,vanno
Aroma,ossidazione,8,ossidazione
Aroma,lievissimo,8,lievissimo
Aroma,raffreddato,8,raffreddato
Aroma,sgradevole,8,sgradevole
Aroma,riuscita,8,riuscita
Aroma,dolciastro,8,dolciastro
Aroma,dare,8,dare
Aroma,all',8,all'
Aroma,anonimo,8,anonimo
Aroma,cristallo,8,cristalli
Aroma,texture,8,texture
Aroma,sente,8,sente
Aroma,flebile,8,flebile
Aroma,pessimo,8,pessimo
Aroma,all'aroma,8,all'aroma
Aroma,paglia,8,paglia
Aroma,liquirizia,8,liquirizia
Aroma,leggemrente,8,leggemrente
Aroma,balsamico,8,balsamico
Aroma,tipo,8,tipo
Colore della Pasta,carico,1968,"carico, carica"
Colore della Pasta,chiaro,1468,"chiaro, chiara, chiare, chiari"
Colore della Pasta,alone,1445,"alone, aloni"
Colore della Pasta,omogeneo,1228,"omogeneo, omogenea, omogenee"
Colore della Pasta,giallo,1038,"giallo, gialla, gialle"
Colore della Pasta,centrale,952,"centrale, centrali, centralmente"
Colore della Pasta,centro,764,centro
Colore della Pasta,colore,623,"colore, colori"
Colore della Pasta,scuro,606,"scuro, scura, scure, scuri"
Colore della Pasta,rosa,541,rosa
Colore della Pasta,piatto,531,"piatto, piatti"
Colore della Pasta,paglierino,520,"paglierino, paglierina"
Colore della Pasta,macchia,510,"macchia, macchie"
Colore della Pasta,rosato,439,"rosato, rosata, rosate, rosati"
Colore della Pasta,leggero,336,"leggero, leggera, leggere, leggeri"
Colore della Pasta,uniforme,318,uniforme
Colore della Pasta,tendente,278,"tendente, tendenti"
Colore della Pasta,scalzi,189,"scalzi, scalzo"
Colore della Pasta,fascia,188,"fascia, fascie"
Colore della Pasta,zona,162,zona
Colore della Pasta,grigio,158,"grigio, grigia, grigie"
Colore della Pasta,zone,156,zone
Colore della Pasta,intenso,152,"intenso, intensa"
Colore della Pasta,evidente,149,"evidente, evidenti"
Colore della Pasta,saturo,142,"saturo, satura, sature"
Colore della Pasta,po',138,po'
Colore della Pasta,tende,120,tende
Colore della Pasta,nocciola,112,nocciola
Colore della Pasta,aree,96,aree
Colore della Pasta,grigiastro,96,"grigiastro, grigiastre, grigiastra"
Colore della Pasta,verde,94,"verde, verdi"
Colore della Pasta,qualche,90,qualche
Colore della Pasta,crosta,88,crosta
Colore della Pasta,lieve,88,"lieve, lievi"
Colore della Pasta,parte,84,parte
Colore della Pasta,disomogeneo,84,"disomogeneo, disomogenea"
Colore della Pasta,presenza,80,presenza
Colore della Pasta,bianco,80,"bianco, bianca"
Colore della Pasta,pasta,78,pasta
Colore della Pasta,sfumatura,76,"sfumatura, sfumature"
Colore della Pasta,bello,70,bello
Colore della Pasta,colorazione,70,colorazione
Colore della Pasta,arancio,68,arancio
Colore della Pasta,marcato,64,"marcato, marcata"
Colore della Pasta,piccola,58,"piccola, piccolo, piccole, piccoli"
Colore della Pasta,aranciato,56,"aranciato, aranciata"
Colore della Pasta,vicino,52,vicino
Colore della Pasta,frattura,51,frattura
Colore della Pasta,unif,48,unif
Colore della Pasta,bordi,46,"bordi, bordo"
Colore della Pasta,due,46,due
Colore della Pasta,abb,46,abb
Colore della Pasta,grande,45,grande
Colore della Pasta,sottocrosta,44,sottocrosta
Colore della Pasta,medio,44,medio
Colore della Pasta,striscia,42,striscia
Colore della Pasta,cm,42,cm
Colore della Pasta,riflessi,40,"riflessi, riflesso"
Colore della Pasta,verdastra,40,"verdastra, verdastro, verdastri, verdastre"
Colore della Pasta,leggerissima,40,"leggerissima, leggerissimo"
Colore della Pasta,omogeneae,40,omogeneamente
Colore della Pasta,tonalità,40,tonalità
Colore della Pasta,tendenziale,40,tendenzialmente
Colore della Pasta,bel,38,bel
Colore della Pasta,chiazza,38,"chiazza, chiazze"
Colore della Pasta,resto,38,resto
Colore della Pasta,scarico,36,scarico
Colore della Pasta,po,36,po
Colore della Pasta,comunque,34,comunque
Colore della Pasta,bruno,32,"bruno, bruna"
Colore della Pasta,accentuato,32,"accentuato, accentuata, accentuate"
Colore della Pasta,marrone,32,"marrone, marroni"
Colore della Pasta,l'esterno,32,l'esterno
Colore della Pasta,sfumato,32,"sfumato, sfumata, sfumate"
Colore della Pasta,base,32,base
Colore della Pasta,angoli,30,"angoli, angolo"
Colore della Pasta,netto,28,netto
Colore della Pasta,area,28,area
Colore della Pasta,verdognole,28,"verdognole, verdognola"
Colore della Pasta,pallido,28,pallido
Colore della Pasta,vs,28,vs
Colore della Pasta,anello,28,anello
Colore della Pasta,visibile,26,"visibile, visibili"
Colore della Pasta,presente,26,"presente, presenta"
Colore della Pasta,lievee,24,lievemente
Colore della Pasta,interna,24,"interna, interno"
Colore della Pasta,risata,24,"risata, risate"
Colore della Pasta,fasce,24,fasce
Colore della Pasta,banda,24,banda
Colore della Pasta,voto,22,voto
Colore della Pasta,lato,22,lato
Colore della Pasta,mediae,22,mediamente
Colore della Pasta,corrispondenza,21,corrispondenza
Colore della Pasta,certe,20,certe
Colore della Pasta,proprio,20,proprio
Colore della Pasta,disidratata,20,"disidratata, disidratato"
Colore della Pasta,laterale,20,"laterale, lateralmente"
Colore della Pasta,color,20,color
Colore della Pasta,biancastra,20,"biancastra, biancastro"
Colore della Pasta,diverse,20,"diverse, diversa"
Colore della Pasta,distribuito,20,distribuito
Colore della Pasta,degradante,20,degradante
